nombre,symbol,categoria,valor_usd,market_cap,ranking,volumen_24h,volumen/marketcap,circulating_supply,total_supply,max_supply,multichain,exchanges,pagina_web,contrato
LandX Governance Token,LNDX,real-world-assets-rwa,0.13878943704483032,1951571.592992773,1673,269233.42977607,0.13795723956157574,14061384.169765,68055670.198633,80000000,True,15,,0x08A1C30BBB26425c1031ee9E43FA0B9960742539
Kinka,XNK,real-world-assets-rwa,,,,0,,0,500000000,,True,2,,0xbc86727e770de68b1060c91f6bb6945c73e10388
Tiamonds [OLD],TIA,real-world-assets-rwa,2.4049873799032113,1498190128.593189,53,47688573.42777586,0.03183078870807657,622951347.317874,1119625643.835255,,True,279,,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877
ONINO,ONI,real-world-assets-rwa,1.8387780305473908e-07,75019.03611127804,2765,0,0.0,407983099999,420690000000,420690000000,True,10,,0x7777cec341e7434126864195adef9b05dcc3489c
Carbify,CBY,real-world-assets-rwa,0.14984348335031536,0,5396,2037.36768453,,0,39992500,39992500,True,22,,0xb9d27bc093ed0a3b7c18366266704cfe5e7af77b
Renta Network,RENTA,real-world-assets-rwa,0.005878695457737624,1446154.1033484028,1784,40106.50842183,0.02773321897643413,245999153,1000000000,1000000000,True,3,,0x792905A8B7c0a22d56E78e849F95c162018A4E2D
Everest,ID,real-world-assets-rwa,0.19532790087102622,195819059.59713128,191,10011606.05914229,0.051126821259072974,1002514534.4004356,1995195090.733769,2000000000,True,235,,0x2dfF88A56767223A5529eA5960Da7A3F5f766406
Home3,HTS,real-world-assets-rwa,0.016666272973106577,1299969.291902313,1823,0,0.0,78000000,96500000,100000000,True,1,,0xC40629464351c37c1e1f47b3640eA2e7AeC31eA5
Linear,LINA,real-world-assets-rwa,0.00011282821740664814,1127903.7776735905,1886,243976.35300136,0.2163095450434474,9996646261.001118,10000000000,10000000000,True,211,,0x3e9bc21c9b189c09df3ef1b824798658d5011937
Chirp Token,CHIRP,real-world-assets-rwa,0.02947717400869114,674566.1438888351,2074,247675.79673909,0.3671631002873243,22884356,37350000,300000000,True,6,,0x1ef4c0b20340b8c6a59438204467ca71e1e7cbe918526f9c2c6c5444517cd5ca::chirp::CHIRP
Libertum,LBM,real-world-assets-rwa,0.01866149442973694,0,4017,90928.91221134,,0,200000000,200000000,True,11,,0x56A38E7216304108E841579041249fEb236C887b
3DPass,P3D,real-world-assets-rwa,0.0024190097133227634,1207207.0562677644,1859,17965.71917472,0.014882052818895318,499050107,778784441,1000000000,False,7,,
Tiamonds,TOTO,real-world-assets-rwa,0.008422035636014217,0,3746,167961.32476479,,0,1010000000,1010000000,True,8,,0xC214A0B73Ce4c30594B4173219e885691254801b
Dastra Network,DAN,real-world-assets-rwa,,,,0,,0,69320719,69320719,True,1,,0x9b70740e708a083c6ff38df52297020f5dfaa5ee
Anzen Finance,ANZ,real-world-assets-rwa,0.0010673382157088743,0,5117,7080.9977988,,0,10000000000,,True,6,,0xeeC468333ccc16D4BF1cEf497A56cf8C0aAe4Ca3
IXO,IXO,real-world-assets-rwa,,,,0,,0,0,,True,2,,IBC/F3FF7A84A73B62921538642F9797C423D2B4C4ACB3C7FCFFCE7F12AA69909C4B
Cogito Finance,CGV,real-world-assets-rwa,0.006503350181408191,629445.8528903552,2102,287.48039413,0.00045671981602534594,96787937.806243,999999999,1000000000,True,20,,0x1bDaF9ddD7658d8049391971d1fd48c0484F66EC
AurusX,AX,real-world-assets-rwa,0.0784609863053175,223919.10266786886,2466,268.39461414,0.001198623123003936,2853891,30000000,30000000,True,18,,0xCB0D82f4DFA503C9e3b8Abc7A3Caa01175b2dA39
MBD Financials,MBD,real-world-assets-rwa,2.6771754072793243e-05,702042.2070216998,2057,38415.76420104,0.054720020843209205,26223242792.11683,40000000000,40000000000,True,10,,0xaAf449Bf8A33a32575C31BA8CBb90612Dd95aCFa
Gold Token,GLDT,real-world-assets-rwa,1.0916491810494657,0,5284,3284.55082664,,0,632800,632800,True,2,,6c7su-kiaaa-aaaar-qaira-cai
YieldBricks,YBR,real-world-assets-rwa,0.002667409472716813,0,3965,99620.39912432,,0,1000000000,1000000000,True,9,,0x11920f139a3121c2836e01551d43f95b3c31159c
Planet Token,PLANET,real-world-assets-rwa,7.146103004036107e-07,608454.9402786543,2113,67253.61381155,0.11053179021070951,851450000000,1000000000010,1000000000010,True,48,,0x2ad9addd0d97ec3cdba27f92bf6077893b76ab0b
MetaZero,MZERO,real-world-assets-rwa,0.006204615179769354,0,8038,0,,0,100000000,100000000,True,5,,0x328a268b191ef593b72498a9e8a481c086eb21be
Decentralized ETF,DETF,real-world-assets-rwa,0.0055097822688895065,0,4126,67273.7160613,,0,100000000,100000000,True,7,,0x5516AC1aaCa7BB2fD5b7bDDE1549Ef1Ea242953d
UBXS,UBXS,real-world-assets-rwa,0.009836116755485355,562183.9416879384,2148,214683.92454202,0.38187487870507064,57155070,84999999,,True,23,,0xfE6e6b60e441a383983eCe2139e3Ca3B3239E49E
Revest Finance,RVST,real-world-assets-rwa,0.0056310491877820095,0,6855,0,,0,100000000,100000000,True,21,,0x120a3879da835a5af037bb2d1456bebd6b54d4ba
Moongate,MGT,real-world-assets-rwa,0.00146003190814151,0,3895,125441.28031016,,0,1000000000,1000000000,True,12,,0x3C6256F234Ba638E5883c46b3fEdb00ea2e66b8A
Etherland,ELAND,real-world-assets-rwa,0.012115457841488656,468589.37659951515,2215,2741.54778841,0.00585064008131173,38676984.62,41024063,,True,21,,0x33e07f5055173cf8febede8b21b12d1e2b523205
Osean,OSEAN,real-world-assets-rwa,0.000542053167510057,0,7751,0,,0,1000000000,1000000000,True,3,,0x50d5118Fb90D572B9d42ba65E0addC4900867809
Naym,NAYM,real-world-assets-rwa,0.004140754627988417,0,4583,19549.52859479,,0,1000000000,1000000000,True,6,,0x314d7f9e2f55B430ef656FBB98A7635D43a2261E
Curio Gas Token,CGT,real-world-assets-rwa,0.004389039741927186,0,5879,88.51016629,,0,100000000,100000000,True,35,,0x0E186357c323c806C1efdad36D217F7a54b63D18
QUAIN,QUAIN,real-world-assets-rwa,0.00042545270063696657,425445.46152097447,2251,0,0.0,999982984.91,999982984.91,,True,5,,4dqYzXnTfNrbwMdJ6uum2FbPC1LkmHtSAbXmh2pfpump
Record Nexus,RECORD,real-world-assets-rwa,0.0010156117172616713,535238.5580058113,2163,103.18574384,0.0001927845860441162,527011011.1066271,1000000000,,True,7,,0xE642657E4F43e6DcF0bd73Ef24008394574Dee28
Rentible,RNB,real-world-assets-rwa,0.03270878747454451,0,6700,0,,0,10000000,10000000,True,7,,0x20a62aca58526836165ca53fe67dd884288c8abf
Meupass,MPS,real-world-assets-rwa,3.681839755283762,0,6582,0,,0,10000000,,True,5,,0x96c645d3d3706f793ef52c19bbace441900ed47d
NASDEX,NSDX,real-world-assets-rwa,0.01191894636677384,0,4793,16632.96437045,,0,60000000,100000000,True,28,,0xe8d17b127ba8b9899a160d9a07b69bca8e08bfc6
Ledgity Token,LDY,real-world-assets-rwa,,,,0,,0,75000000,75000000,True,3,,0x482df7483a52496f4c65ab499966dfcdf4ddfdbc
WECOIN,WECO,real-world-assets-rwa,1.8033002602720016e-05,0,5565,790.49441136,,0,10000000000,10000000000,True,23,,0x5d37ABAFd5498B0E7af753a2E83bd4F0335AA89F
Huanghuali Token,HLT,real-world-assets-rwa,1.2504207899265956,0,8850,0,,0,23762,23762,True,2,,0xE52a736828c782C2a4A345bBE8052aed010fc82D
Florence Finance Medici,FFM,real-world-assets-rwa,0.0005881616211137401,0,7957,0,,0,1000000000,,True,17,,0x3269a3C00AB86c753856fD135d97b87FACB0d848
REM Token,REM,real-world-assets-rwa,0.002456348747938397,0,6083,19.77530056,,0,1000000000,,True,1,,0x83d5D441eD15737D34226b682F7427d2217f2a8f
Rentberry,BERRY,real-world-assets-rwa,0.087806990524562,8780699.0524562,1097,8393.65425379,0.0009559209584164108,100000000,100000000,100000000,True,20,,0xCb76314C2540199f4B844D4ebbC7998C604880cA
Xgrow,XGR,real-world-assets-rwa,,,,0,,17171382.059993,17171382.059993,40000000,False,0,,
UREEQA,URQA,real-world-assets-rwa,,,,0,,73068346.10603784,100000000,100000000,True,5,,0x1735Db6AB5BAa19eA55d0AdcEeD7bcDc008B3136
Brick,BRICK,real-world-assets-rwa,0.017465835485677587,1942728.8632824088,1675,61794.46395515,0.03180807426247989,111230228,111230228,,True,20,,0x6dcb98f460457fe4952e12779ba852f82ecc62c1
LOD3 Token,LOD3,real-world-assets-rwa,0.000581930020684133,0,7466,0,,0,77000000,770000000,True,7,,0xbbaaa0420d474b34be197f95a323c2ff3829e811
Poison Finance,POI$ON,real-world-assets-rwa,,,,0,,0,12610000,,True,23,,0x31c91d8fb96bff40955dd2dbc909b36e8b104dde
UBS USD Money Market Investment Fund Token,UMINT,real-world-assets-rwa,,,,,,0,10116668,50000000,True,,,0xE99De844EF3Ef72806cf006224EF3b813e82662f
Beer Can Island,BCI,real-world-assets-rwa,,,,0,,0,18326891.5,,False,1,,
DiamondShell,DSHELL,real-world-assets-rwa,0.014054120725660573,0,9505,0,,0,1000000,1000000,True,1,,0xEB28314C894E8BbED76B4EE8dD872B387A0D67Fa
